Asset types,Subsidiaries,Versions,Depreciation,Month,Value
Fixed assets: manufacturing assets,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,393218.81
Fixed assets: other fixed assets,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,235058.44
Leasehold improvements,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,635566.96
Buildings,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,123987.61
Buildings on leased land,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,200609
Fixed assets: automotive,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,132955.24
Fixed assets: computer hardware,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,62290.11
Fixed assets: computer software,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,65099.12
Fixed assets: equipment,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,257426.74
Fixed assets: fixtures,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,556441.47
Fixed assets: furniture,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,128576.64
Fixed assets: manufacturing assets,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,369625.68
Fixed assets: other fixed assets,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,220954.93
Leasehold improvements,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jan,597432.94
Buildings,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,50257.86
Buildings on leased land,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,64731.42
Fixed assets: automotive,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,139933.82
Fixed assets: computer hardware,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,62768.65,,,,,,,,,,,
Fixed assets: computer software,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,73492.23,,,,,,,,,,,
Fixed assets: equipment,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,295070.19,,,,,,,,,,,
Fixed assets: fixtures,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,318661.11,,,,,,,,,,,
Fixed assets: furniture,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,"131,539.19",,,,,,,,,,,
Fixed assets: manufacturing assets,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,281249.43,,,,,,,,,,,
Fixed assets: other fixed assets,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,99169.6,,,,,,,,,,,
Leasehold improvements,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jan,789555.61,,,,,,,,,,,
Buildings,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,50257.86,,,,,,,,,,,
Buildings on leased land,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,64731.42,,,,,,,,,,,
Fixed assets: automotive,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,139933.82,,,,,,,,,,,
Fixed assets: computer hardware,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,65907.08,,,,,,,,,,,
Fixed assets: computer software,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,77166.84,,,,,,,,,,,
Fixed assets: equipment,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,295070.19,,,,,,,,,,,
Fixed assets: fixtures,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,318661.11,,,,,,,,,,,
Fixed assets: furniture,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,131539.19,,,,,,,,,,,
Fixed assets: manufacturing assets,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,295311.9
Fixed assets: other fixed assets,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,104128.08
Leasehold improvements,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jan,789555.61
Buildings,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,241400.56
Buildings on leased land,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,97600.19
Fixed assets: automotive,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,125143.88
Fixed assets: computer hardware,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,51353.75
Fixed assets: computer software,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,74613.57
Fixed assets: equipment,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,158584.85
Fixed assets: fixtures,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,432045.41
Fixed assets: furniture,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,81151.52
Fixed assets: manufacturing assets,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,195021.19
Fixed assets: other fixed assets,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,78075.62
Leasehold improvements,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jan,658887.42
Buildings,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,226916.53
Buildings on leased land,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,91744.18
Fixed assets: automotive,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,117635.25
Fixed assets: computer hardware,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,48272.53
Fixed assets: computer software,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,70136.76
Fixed assets: equipment,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,149069.76
Fixed assets: fixtures,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,406122.69
Fixed assets: furniture,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,76282.43
Fixed assets: manufacturing assets,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,183319.92
Fixed assets: other fixed assets,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,73391.08
Leasehold improvements,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jan,619354.17
Buildings,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,225009.77
Buildings on leased land,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,189351.4
Fixed assets: automotive,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,310859.65
Fixed assets: computer hardware,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,41986.69
Fixed assets: computer software,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,57512.91
Fixed assets: equipment,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,332239.9
Fixed assets: fixtures,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,183099.4
Fixed assets: furniture,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,88073.18
Fixed assets: manufacturing assets,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,130422.16
Fixed assets: other fixed assets,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,113665.96
Leasehold improvements,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jan,806864.85
Buildings,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,220509.57
Buildings on leased land,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,185564.37
Fixed assets: automotive,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,304642.46
Fixed assets: computer hardware,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,41146.96
Fixed assets: computer software,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,56362.65
Fixed assets: equipment,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,325595.1
Fixed assets: fixtures,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,179437.41
Fixed assets: furniture,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,86311.72
Fixed assets: manufacturing assets,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,127813.72
Fixed assets: other fixed assets,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,111392.64
Leasehold improvements,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jan,790727.55
Buildings,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,158725.68
Buildings on leased land,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,75954.78
Fixed assets: automotive,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,228339.27
Fixed assets: computer hardware,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,47724.39
Fixed assets: computer software,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,37078.46
Fixed assets: equipment,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,291984.13
Fixed assets: fixtures,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,361498.6
Fixed assets: furniture,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,132917.44
Fixed assets: manufacturing assets,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,91875.48
Fixed assets: other fixed assets,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,218662.77
Leasehold improvements,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jan,933355.77
Buildings,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,165074.71
Buildings on leased land,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,78992.97
Fixed assets: automotive,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,237472.84
Fixed assets: computer hardware,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,49633.37
Fixed assets: computer software,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,38561.6
Fixed assets: equipment,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,303663.5
Fixed assets: fixtures,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,375958.54
Fixed assets: furniture,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,138234.14
Fixed assets: manufacturing assets,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,95550.5
Fixed assets: other fixed assets,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,227409.28
Leasehold improvements,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jan,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Feb,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Feb,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Feb,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Feb,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Feb,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Feb,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Feb,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Feb,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Feb,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Feb,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,75954.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,228339.26
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,47724.38
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,37078.47
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,291984.12
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,361498.59
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,132917.43
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,218662.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Feb,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,78992.97
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,237472.83
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,49633.36
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,38561.61
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,303663.48
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,375958.53
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,138234.13
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,227409.29
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Feb,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Mar,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Mar,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Mar,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Mar,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Mar,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Mar,789555.61
