Subsidiaries,Channel,Product Type,Version,Sales Staff,Order Date,Quantity,Cash Discount,Volume Discount,Freight,Returns and Allowances
GO Americas,Department Store,Binoculars,Budget version 2,"Orozco, Ana",7-Jun,575,2318.95,1511.79,7209.9,3134.74
GO Americas,Department Store,Binoculars,Budget version 2,"Orozco, Ana",7-Oct,321,1293.25,843.1,4020.86,1748.2
GO Americas,Department Store,Binoculars,Budget version 2,"Pierce, Samantha",7-Jul,597,2408.09,1569.86,7487.18,3255.3
GO Americas,Department Store,Binoculars,Budget version 2,"Rojas, Gabriela",7-Apr,232,936.45,610.51,2911.66,1265.94
GO Americas,Department Store,Binoculars,Budget version 2,"Rojas, Gabriela",7-Nov,597,2408.09,1569.86,7487.18,3255.3
GO Americas,Department Store,Binoculars,Budget version 2,"Rojas, Gabriela",7-Oct,465,1873.01,1221.02,5823.31,2531.87
GO Americas,Department Store,Binoculars,Budget version 2,"Townsend, Harold",7-Oct,1217,4905.44,3197.89,15251.63,6631.14
GO Americas,Department Store,Binoculars,Budget version 2,"Townsend, Harold",7-Sep,807,3255.4,2122.3,10121.56,4400.68
GO Americas,Department Store,Binoculars,Budget version 2,"Vachon, Martine",7-Jan,409,1650.04,1075.7,5130.07,2230.47
GO Americas,Department Store,Climbing Accessories,Budget version 1,"Barros, Viviam",7-Jan,929,1008.01,657.07,3133.96,1362.59
GO Americas,Department Store,Climbing Accessories,Budget version 1,"Barros, Viviam",7-Oct,354,384,250.29,1193.93,519.1
GO Americas,Department Store,Climbing Accessories,Budget version 1,"Barros, Viviam",7-Sep,1416,1535.9,1001.26,4775.49,2076.3
GO Americas,Department Store,Climbing Accessories,Budget version 1,"Lopes, Bayard",7-Dec,1106,1200.01,782.27,3730.87,1622.12
GO Americas,Department Store,Climbing Accessories,Budget version 1,"Lopes, Bayard",7-Mar,177,192,125.2,596.91,259.53
GO Americas,Department Store,Climbing Accessories,Budget version 2,"Barros, Viviam",7-Jan,962,1075.25,700.98,3343.22,1453.57
GO Americas,Department Store,Climbing Accessories,Budget version 2,"Barros, Viviam",7-Oct,365,407.89,265.88,1268.14,551.37
GO Americas,Department Store,Climbing Accessories,Budget version 2,"Barros, Viviam",7-Sep,1471,1643.85,1071.6,5110.94,2222.15
GO Americas,Department Store,Climbing Accessories,Budget version 2,"Lopes, Bayard",7-Dec,1150,1285.39,838.02,3996.53,1737.62
GO Americas,Department Store,Climbing Accessories,Budget version 2,"Lopes, Bayard",7-Mar,188,210.14,136.92,653.31,284.05
GO Americas,Department Store,Cooking Gear,Budget version 1,"Barros, Viviam",7-Jan,5552,7587.05,4946.14,23589.21,10256.18
GO Americas,Department Store,Cooking Gear,Budget version 1,"Barros, Viviam",7-Oct,15528,21219.49,13833.41,65974.67,28684.64
GO Americas,Department Store,Cooking Gear,Budget version 1,"Barros, Viviam",7-Sep,13913,19012.91,12394.83,59114.04,25701.76
GO Americas,Department Store,Cooking Gear,Budget version 1,"Bretton, Frank",7-Dec,12608,17229.6,11232.2,53569.11,23290.92
GO Americas,Department Store,Cooking Gear,Budget version 1,"Carson, Eric",7-Apr,442,604.54,394.07,1879.65,817.24
GO Americas,Department Store,Cooking Gear,Budget version 1,"Chow, Donald",7-Apr,1349,1843.81,1202,5732.84,2492.54
GO Americas,Department Store,Cooking Gear,Budget version 1,"Chow, Donald",7-Jan,885,1209.08,788.25,3759.18,1634.43
GO Americas,Department Store,Cooking Gear,Budget version 1,"Cohen, Valerie",7-Jan,177,241.77,157.61,751.86,326.9
GO Americas,Department Store,Cooking Gear,Budget version 1,"Cohen, Valerie",7-Nov,221,302.27,197.09,939.77,408.6
GO Americas,Department Store,Cooking Gear,Budget version 1,"Cummings, Rhonda",7-Aug,133,181.38,118.23,563.84,245.15
GO Americas,Department Store,Cooking Gear,Budget version 1,"Cummings, Rhonda",7-Feb,332,453.46,295.63,1409.71,612.92
GO Americas,Department Store,Cooking Gear,Budget version 1,"Cummings, Rhonda",7-Mar,708,967.31,630.53,3007.44,1307.58
GO Americas,Department Store,Cooking Gear,Budget version 1,"Fowler, Dale",7-Feb,199,272.08,177.4,845.87,367.77
GO Americas,Department Store,Cooking Gear,Budget version 1,"Fowler, Dale",7-Mar,332,453.46,295.63,1409.71,612.92
GO Americas,Department Store,Cooking Gear,Budget version 1,"Germaine, Harold",7-Jan,420,574.35,374.38,1785.64,776.37
GO Americas,Department Store,Cooking Gear,Budget version 1,"Johnson, Estelle",7-Jun,752,1027.7,670.01,3195.34,1389.28
GO Americas,Department Store,Cooking Gear,Budget version 1,"Johnson, Estelle",7-May,354,483.65,315.32,1503.72,653.79
GO Americas,Department Store,Cooking Gear,Budget version 1,"Johnson, Estelle",7-Sep,88,120.89,78.86,375.93,163.45
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lastman, Audrey",7-Apr,575,785.92,512.3,2443.49,1062.39
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lastman, Audrey",7-Aug,66,90.69,59.17,281.92,122.57
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lastman, Audrey",7-Oct,111,151.19,98.54,469.94,204.32
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Apr,221,302.27,197.09,939.77,408.6
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Aug,155,211.58,137.92,657.85,286.02
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Dec,199,272.08,177.4,845.87,367.77
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Feb,221,302.27,197.09,939.77,408.6
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Jul,398,544.04,354.69,1691.63,735.49
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Jun,376,513.85,335.01,1597.73,694.67
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lavoie, Pierre",7-Oct,973,1329.97,867.1,4135.11,1797.87
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lopes, Bayard",7-Dec,13139,17955.03,11705.13,55824.69,24271.6
GO Americas,Department Store,Cooking Gear,Budget version 1,"Lopes, Bayard",7-Mar,8848,12090.9,7882.24,37592.39,16344.52
GO Americas,Department Store,Cooking Gear,Budget version 1,"Michaels, Chad",7-Aug,288,392.96,256.15,1221.8,531.22
GO Americas,Department Store,Cooking Gear,Budget version 1,"Michaels, Chad",7-Oct,265,362.77,236.46,1127.79,490.34
GO Americas,Department Store,Cooking Gear,Budget version 1,"Orozco, Ana",7-Apr,509,695.23,453.24,2161.57,939.81
GO Americas,Department Store,Cooking Gear,Budget version 1,"Orozco, Ana",7-Dec,664,906.81,591.16,2819.42,1225.83
GO Americas,Department Store,Cooking Gear,Budget version 1,"Orozco, Ana",7-Jul,465,634.73,413.87,1973.55,858.07
GO Americas,Department Store,Cooking Gear,Budget version 1,"Orozco, Ana",7-Jun,221,302.27,197.09,939.77,408.6
GO Americas,Department Store,Cooking Gear,Budget version 1,"Orozco, Ana",7-May,841,1148.69,748.76,3571.27,1552.73
GO Americas,Department Store,Cooking Gear,Budget version 1,"Pierce, Samantha",7-Dec,3119,4262.08,2778.49,13251.32,5761.44
GO Americas,Department Store,Cooking Gear,Budget version 1,"Pierce, Samantha",7-Jul,4446,6075.7,3960.81,18890.15,8213.11
GO Americas,Department Store,Cooking Gear,Budget version 1,"Pike, Brendon",7-Nov,4822,6589.55,4295.81,20487.88,8907.77
GO Americas,Department Store,Cooking Gear,Budget version 1,"Rojas, Gabriela",7-Apr,597,816.12,532.1,2537.5,1103.26
GO Americas,Department Store,Cooking Gear,Budget version 1,"Rojas, Gabriela",7-Nov,553,755.73,492.61,2349.48,1021.51
GO Americas,Department Store,Cooking Gear,Budget version 1,"Rojas, Gabriela",7-Oct,531,725.43,472.93,2255.58,980.69
GO Americas,Department Store,Cooking Gear,Budget version 1,"Rowland, Sherry",7-Jul,2455,3355.27,2187.34,10431.9,4535.61
GO Americas,Department Store,Cooking Gear,Budget version 1,"Rowland, Sherry",7-Sep,1615,2206.58,1438.46,6860.63,2982.88
GO Americas,Department Store,Cooking Gear,Budget version 1,"Thomas, Janice",7-Dec,177,241.77,157.61,751.86,326.9
GO Americas,Department Store,Cooking Gear,Budget version 1,"Thomas, Janice",7-Jul,199,272.08,177.4,845.87,367.77
GO Americas,Department Store,Cooking Gear,Budget version 1,"Townsend, Harold",7-Feb,2256,3083.2,2009.93,9586.03,4167.84
GO Americas,Department Store,Cooking Gear,Budget version 1,"Townsend, Harold",7-Mar,973,1329.97,867.1,4135.11,1797.87
GO Americas,Department Store,Cooking Gear,Budget version 1,"Vachon, Martine",7-Jan,4999,6831.32,4453.53,21239.73,9234.67
GO Americas,Department Store,Cooking Gear,Budget version 1,"Vachon, Martine",7-Jul,4269,5833.82,3803.2,18138.29,7886.21
GO Americas,Department Store,Cooking Gear,Budget version 1,"Wilcox, Allisia",7-Apr,597,816.12,532.1,2537.5,1103.26
GO Americas,Department Store,Cooking Gear,Budget version 1,"Wilcox, Allisia",7-Dec,111,151.19,98.54,469.94,204.32
GO Americas,Department Store,Cooking Gear,Budget version 1,"Wilcox, Allisia",7-Jul,155,211.58,137.92,657.85,286.02
GO Americas,Department Store,Cooking Gear,Budget version 1,"Wilcox, Allisia",7-Oct,376,513.85,335.01,1597.73,694.67
GO Americas,Department Store,Cooking Gear,Budget version 2,"Barros, Viviam",7-Jan,5762,8110.41,5287.34,25216.47,10963.68
GO Americas,Department Store,Cooking Gear,Budget version 2,"Barros, Viviam",7-Oct,16148,22727.86,14816.75,70664.33,30723.62
GO Americas,Department Store,Cooking Gear,Budget version 2,"Barros, Viviam",7-Sep,14478,20377.28,13284.28,63355.88,27546.03
GO Americas,Department Store,Cooking Gear,Budget version 2,"Bretton, Frank",7-Dec,13128,18478.05,12046.22,57451.06,24978.72
GO Americas,Department Store,Cooking Gear,Budget version 2,"Carson, Eric",7-Apr,465,653.87,426.25,2032.83,883.84
GO Americas,Department Store,Cooking Gear,Budget version 2,"Chow, Donald",7-Apr,1405,1976.98,1288.82,6146.82,2672.53
GO Americas,Department Store,Cooking Gear,Budget version 2,"Chow, Donald",7-Jan,918,1292.03,842.33,4017.21,1746.61
GO Americas,Department Store,Cooking Gear,Budget version 2,"Cohen, Valerie",7-Jan,188,264.67,172.54,822.75,357.72
GO Americas,Department Store,Cooking Gear,Budget version 2,"Cohen, Valerie",7-Nov,232,326.93,213.13,1016.41,441.92
GO Americas,Department Store,Cooking Gear,Budget version 2,"Cummings, Rhonda",7-Aug,133,186.8,121.77,580.76,252.5
GO Americas,Department Store,Cooking Gear,Budget version 2,"Cummings, Rhonda",7-Feb,343,482.55,314.55,1500.4,652.35
GO Americas,Department Store,Cooking Gear,Budget version 2,"Cummings, Rhonda",7-Mar,730,1027.47,669.79,3194.46,1388.9
GO Americas,Department Store,Cooking Gear,Budget version 2,"Fowler, Dale",7-Feb,210,295.74,192.78,919.64,399.84
GO Americas,Department Store,Cooking Gear,Budget version 2,"Fowler, Dale",7-Mar,343,482.55,314.55,1500.4,652.35
GO Americas,Department Store,Cooking Gear,Budget version 2,"Germaine, Harold",7-Jan,442,622.68,405.9,1936.05,841.76
GO Americas,Department Store,Cooking Gear,Budget version 2,"Johnson, Estelle",7-Jun,785,1105.23,720.56,3436.45,1494.11
GO Americas,Department Store,Cooking Gear,Budget version 2,"Johnson, Estelle",7-May,365,513.74,334.9,1597.17,694.42
GO Americas,Department Store,Cooking Gear,Budget version 2,"Johnson, Estelle",7-Sep,88,124.54,81.18,387.21,168.35
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lastman, Audrey",7-Apr,597,840.67,548.02,2613.59,1136.34
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lastman, Audrey",7-Aug,66,93.46,60.94,290.44,126.28
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lastman, Audrey",7-Oct,111,155.72,101.53,483.99,210.43
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Apr,232,326.93,213.13,1016.41,441.92
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Aug,155,217.99,142.12,677.65,294.63
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Dec,210,295.74,192.78,919.64,399.84
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Feb,232,326.93,213.13,1016.41,441.92
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Jul,409,576,375.49,1790.84,778.63
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Jun,387,544.82,355.25,1694.06,736.55
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lavoie, Pierre",7-Oct,1018,1432.16,933.69,4452.87,1936.03
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lopes, Bayard",7-Dec,13659,19225.27,12533.3,59774.21,25988.79
GO Americas,Department Store,Cooking Gear,Budget version 2,"Lopes, Bayard",7-Mar,9213,12967.3,8453.6,40317.35,17529.28
GO Americas,Department Store,Cooking Gear,Budget version 2,"Michaels, Chad",7-Aug,299,420.28,273.96,1306.85,568.2
GO Americas,Department Store,Cooking Gear,Budget version 2,"Michaels, Chad",7-Oct,277,389.2,253.72,1209.96,526.07
GO Americas,Department Store,Cooking Gear,Budget version 2,"Orozco, Ana",7-Apr,531,747.21,487.08,2323.26,1010.11
GO Americas,Department Store,Cooking Gear,Budget version 2,"Orozco, Ana",7-Dec,686,965.21,629.2,3000.8,1304.7
GO Americas,Department Store,Cooking Gear,Budget version 2,"Orozco, Ana",7-Jul,487,684.95,446.49,2129.6,925.91
GO Americas,Department Store,Cooking Gear,Budget version 2,"Orozco, Ana",7-Jun,232,326.93,213.13,1016.41,441.92
GO Americas,Department Store,Cooking Gear,Budget version 2,"Orozco, Ana",7-May,874,1229.76,801.74,3823.66,1662.46
GO Americas,Department Store,Cooking Gear,Budget version 2,"Pierce, Samantha",7-Dec,3241,4561.14,2973.48,14181.24,6165.76
GO Americas,Department Store,Cooking Gear,Budget version 2,"Pierce, Samantha",7-Jul,4623,6507.04,4242.06,20231.28,8796.21
GO Americas,Department Store,Cooking Gear,Budget version 2,"Pike, Brendon",7-Nov,5010,7051.86,4597.2,21925.23,9532.71
GO Americas,Department Store,Cooking Gear,Budget version 2,"Rojas, Gabriela",7-Apr,619,871.75,568.26,2710.36,1178.42
GO Americas,Department Store,Cooking Gear,Budget version 2,"Rojas, Gabriela",7-Nov,575,809.48,527.67,2516.81,1094.27
GO Americas,Department Store,Cooking Gear,Budget version 2,"Rojas, Gabriela",7-Oct,553,778.4,507.43,2420.04,1052.19
GO Americas,Department Store,Cooking Gear,Budget version 2,"Rowland, Sherry",7-Jul,2555,3595.94,2344.28,11180.44,4861.06
GO Americas,Department Store,Cooking Gear,Budget version 2,"Rowland, Sherry",7-Sep,1681,2366.18,1542.54,7356.78,3198.6
GO Americas,Department Store,Cooking Gear,Budget version 2,"Thomas, Janice",7-Dec,188,264.67,172.54,822.75,357.72
GO Americas,Department Store,Cooking Gear,Budget version 2,"Thomas, Janice",7-Jul,210,295.74,192.78,919.64,399.84
GO Americas,Department Store,Cooking Gear,Budget version 2,"Townsend, Harold",7-Feb,2345,3300.19,2151.5,10260.8,4461.22
GO Americas,Department Store,Cooking Gear,Budget version 2,"Townsend, Harold",7-Mar,1018,1432.16,933.69,4452.87,1936.03
GO Americas,Department Store,Cooking Gear,Budget version 2,"Vachon, Martine",7-Jan,5209,7332.12,4779.91,22796.54,9911.54
GO Americas,Department Store,Cooking Gear,Budget version 2,"Vachon, Martine",7-Jul,4446,6257.97,4079.7,19456.86,8459.5
GO Americas,Department Store,Cooking Gear,Budget version 2,"Wilcox, Allisia",7-Apr,619,871.75,568.26,2710.36,1178.42
GO Americas,Department Store,Cooking Gear,Budget version 2,"Wilcox, Allisia",7-Dec,111,155.72,101.53,483.99,210.43
GO Americas,Department Store,Cooking Gear,Budget version 2,"Wilcox, Allisia",7-Jul,166,233.48,152.19,725.98,315.64
GO Americas,Department Store,Cooking Gear,Budget version 2,"Wilcox, Allisia",7-Oct,387,544.82,355.25,1694.06,736.55
GO Americas,Department Store,Eyewear,Budget version 1,"Barros, Viviam",7-Jan,1150,3889.14,2535.39,12091.79,5257.3
GO Americas,Department Store,Eyewear,Budget version 1,"Barros, Viviam",7-Oct,2588,8750.45,5704.53,27206.49,11828.91
GO Americas,Department Store,Eyewear,Budget version 1,"Barros, Viviam",7-Sep,2898,9797.5,6387.15,30461.89,13244.3
GO Americas,Department Store,Eyewear,Budget version 1,"Belding, Greg",7-May,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Bretton, Frank",7-Dec,1947,6581.58,4290.62,20462.99,8896.95
GO Americas,Department Store,Eyewear,Budget version 1,"Bretton, Frank",7-Jan,420,1420.99,926.39,4418.14,1920.93
GO Americas,Department Store,Eyewear,Budget version 1,"Carson, Eric",7-Jun,177,598.35,390.09,1860.29,808.82
GO Americas,Department Store,Eyewear,Budget version 1,"Carson, Eric",7-May,111,373.94,243.76,1162.63,505.49
GO Americas,Department Store,Eyewear,Budget version 1,"Carson, Eric",7-Oct,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Carson, Eric",7-Sep,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Chow, Donald",7-Apr,1217,4113.44,2681.61,12789.34,5560.58
GO Americas,Department Store,Eyewear,Budget version 1,"Chow, Donald",7-Mar,1084,3664.73,2389.07,11394.12,4953.97
GO Americas,Department Store,Eyewear,Budget version 1,"Chow, Donald",7-Oct,487,1645.4,1072.71,5115.69,2224.21
GO Americas,Department Store,Eyewear,Budget version 1,"Cummings, Rhonda",7-Aug,553,1869.8,1218.92,5813.36,2527.55
GO Americas,Department Store,Eyewear,Budget version 1,"Cummings, Rhonda",7-Jul,88,299.17,194.99,930.15,404.41
GO Americas,Department Store,Eyewear,Budget version 1,"Cummings, Rhonda",7-Sep,310,1047.05,682.62,3255.51,1415.44
GO Americas,Department Store,Eyewear,Budget version 1,"Fowler, Dale",7-Sep,354,1196.69,780.06,3720.58,1617.64
GO Americas,Department Store,Eyewear,Budget version 1,"Germaine, Harold",7-Jan,708,2393.27,1560.23,7441.06,3235.24
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-Aug,111,373.94,243.76,1162.63,505.49
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-Jun,265,897.52,585.07,2790.44,1213.23
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-Mar,376,1271.46,828.84,3953.07,1718.73
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-May,133,448.7,292.54,1395.22,606.62
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-Oct,332,1121.82,731.4,3487.99,1516.52
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Estelle",7-Sep,288,972.28,633.85,3022.92,1314.31
GO Americas,Department Store,Eyewear,Budget version 1,"Johnson, Lowell",7-May,686,2318.51,1511.46,7208.58,3134.17
GO Americas,Department Store,Eyewear,Budget version 1,"Lastman, Audrey",7-Apr,398,1346.22,877.61,4185.66,1819.85
GO Americas,Department Store,Eyewear,Budget version 1,"Lastman, Audrey",7-Aug,354,1196.69,780.06,3720.58,1617.64
GO Americas,Department Store,Eyewear,Budget version 1,"Lastman, Audrey",7-Jan,465,1570.63,1023.93,4883.21,2123.13
GO Americas,Department Store,Eyewear,Budget version 1,"Lastman, Audrey",7-May,111,373.94,243.76,1162.63,505.49
GO Americas,Department Store,Eyewear,Budget version 1,"Lastman, Audrey",7-Sep,243,822.64,536.3,2557.85,1112.11
GO Americas,Department Store,Eyewear,Budget version 1,"Lavoie, Pierre",7-Aug,1239,4188.2,2730.38,13021.93,5661.71
GO Americas,Department Store,Eyewear,Budget version 1,"Lavoie, Pierre",7-Jan,487,1645.4,1072.71,5115.69,2224.21
GO Americas,Department Store,Eyewear,Budget version 1,"Lavoie, Pierre",7-Jul,288,972.28,633.85,3022.92,1314.31
GO Americas,Department Store,Eyewear,Budget version 1,"Lavoie, Pierre",7-Oct,310,1047.05,682.62,3255.51,1415.44
GO Americas,Department Store,Eyewear,Budget version 1,"Lavoie, Pierre",7-Sep,155,523.58,341.31,1627.7,707.7
GO Americas,Department Store,Eyewear,Budget version 1,"Lopes, Bayard",7-Dec,1460,4936.19,3218.02,15347.19,6672.69
GO Americas,Department Store,Eyewear,Budget version 1,"McCormick, Ashley",7-Apr,487,1645.4,1072.71,5115.69,2224.21
GO Americas,Department Store,Eyewear,Budget version 1,"McCormick, Ashley",7-Aug,88,299.17,194.99,930.15,404.41
GO Americas,Department Store,Eyewear,Budget version 1,"Michaels, Chad",7-Apr,553,1869.8,1218.92,5813.36,2527.55
GO Americas,Department Store,Eyewear,Budget version 1,"Michaels, Chad",7-Aug,310,1047.05,682.62,3255.51,1415.44
GO Americas,Department Store,Eyewear,Budget version 1,"Michaels, Chad",7-Oct,442,1495.75,975.16,4650.62,2022.01
GO Americas,Department Store,Eyewear,Budget version 1,"Michaels, Chad",7-Sep,354,1196.69,780.06,3720.58,1617.64
GO Americas,Department Store,Eyewear,Budget version 1,"Orozco, Ana",7-Apr,88,299.17,194.99,930.15,404.41
GO Americas,Department Store,Eyewear,Budget version 1,"Orozco, Ana",7-Dec,465,1570.63,1023.93,4883.21,2123.13
GO Americas,Department Store,Eyewear,Budget version 1,"Orozco, Ana",7-Jun,66,224.41,146.32,697.55,303.28
GO Americas,Department Store,Eyewear,Budget version 1,"Pierce, Samantha",7-Aug,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Pierce, Samantha",7-Dec,177,598.35,390.09,1860.29,808.82
GO Americas,Department Store,Eyewear,Budget version 1,"Pierce, Samantha",7-Jul,1261,4263.08,2779.16,13254.41,5762.79
GO Americas,Department Store,Eyewear,Budget version 1,"Pike, Brendon",7-Nov,155,523.58,341.31,1627.7,707.7
GO Americas,Department Store,Eyewear,Budget version 1,"Rojas, Gabriela",7-Apr,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Rojas, Gabriela",7-Jul,686,2318.51,1511.46,7208.58,3134.17
GO Americas,Department Store,Eyewear,Budget version 1,"Rojas, Gabriela",7-Oct,664,2243.74,1462.69,6975.98,3033.03
GO Americas,Department Store,Eyewear,Budget version 1,"Rowland, Sherry",7-Mar,111,373.94,243.76,1162.63,505.49
GO Americas,Department Store,Eyewear,Budget version 1,"Scott, Bart",7-Oct,155,523.58,341.31,1627.7,707.7
GO Americas,Department Store,Eyewear,Budget version 1,"Scott, Bart",7-Sep,465,1570.63,1023.93,4883.21,2123.13
GO Americas,Department Store,Eyewear,Budget version 1,"Thomas, Janice",7-Dec,221,747.88,487.52,2325.37,1011.03
GO Americas,Department Store,Eyewear,Budget version 1,"Thomas, Janice",7-Jul,1018,3440.32,2242.86,10696.57,4650.68
GO Americas,Department Store,Eyewear,Budget version 1,"Townsend, Harold",7-Oct,1615,5459.66,3559.22,16975,7380.43
GO Americas,Department Store,Eyewear,Budget version 1,"Townsend, Harold",7-Sep,509,1720.16,1121.37,5348.28,2325.34
GO Americas,Department Store,Eyewear,Budget version 1,"Vachon, Martine",7-Jan,265,897.52,585.07,2790.44,1213.23
GO Americas,Department Store,Eyewear,Budget version 1,"Vachon, Martine",7-Jul,420,1420.99,926.39,4418.14,1920.93
GO Americas,Department Store,Eyewear,Budget version 1,"Wilcox, Allisia",7-Dec,155,523.58,341.31,1627.7,707.7
GO Americas,Department Store,Eyewear,Budget version 1,"Wilcox, Allisia",7-Jul,465,1570.63,1023.93,4883.21,2123.13
GO Americas,Department Store,Eyewear,Budget version 1,"Wilcox, Allisia",7-Oct,310,1047.05,682.62,3255.51,1415.44
GO Americas,Department Store,Eyewear,Budget version 2,"Barros, Viviam",7-Jan,1194,4159.89,2711.91,12933.56,5623.29
GO Americas,Department Store,Eyewear,Budget version 2,"Barros, Viviam",7-Oct,2688,9359.64,6101.69,29100.41,12652.35
GO Americas,Department Store,Eyewear,Budget version 2,"Barros, Viviam",7-Sep,3019,10515.18,6854.99,32693.03,14214.36
GO Americas,Department Store,Eyewear,Budget version 2,"Belding, Greg",7-May,232,808.82,527.34,2514.82,1093.4
GO Americas,Department Store,Eyewear,Budget version 2,"Bretton, Frank",7-Dec,2024,7048.65,4595.1,21915.17,9528.33
GO Americas,Department Store,Eyewear,Budget version 2,"Bretton, Frank",7-Jan,442,1540.66,1004.36,4790.2,2082.7
GO Americas,Department Store,Eyewear,Budget version 2,"Carson, Eric",7-Jun,188,654.75,426.92,2035.81,885.13
GO Americas,Department Store,Eyewear,Budget version 2,"Carson, Eric",7-May,111,385.22,251.06,1197.58,520.69
GO Americas,Department Store,Eyewear,Budget version 2,"Carson, Eric",7-Oct,232,808.82,527.34,2514.82,1093.4
GO Americas,Department Store,Eyewear,Budget version 2,"Carson, Eric",7-Sep,232,808.82,527.34,2514.82,1093.4
